GENE,PDB ID,PARTNER GENES,METHOD,RESOLUTION,RELEASE DATE,SOURCE ORGANISM,KINGDOM,PROK_EUK,OLIGOMERIC STATE,MOLECULAR WEIGHT,STRUCTURE AUTHOR,PUBLICATION YEAR
CTNS,8DKE,,ELECTRON MICROSCOPY,3.18,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,98.32,"Li, X.",2022
CTNS,8DKI,,ELECTRON MICROSCOPY,3.32,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,98.32,"Li, X.",2022
CTNS,8DKM,,ELECTRON MICROSCOPY,3.39,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,98.56,"Li, X.",2022
CTNS,8DKW,,ELECTRON MICROSCOPY,3.09,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,98.33,"Li, X.",2022
CTNS,8DKX,,ELECTRON MICROSCOPY,3.0,2022-09-21T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,98.33,"Li, X.",2022
CTNS,8DYP,,X-RAY DIFFRACTION,3.4,2022-11-16T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,50.74,"Feng, L.",2022
MAGT1,6S7T,,ELECTRON MICROSCOPY,3.5,2019-12-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,decameric,397.91,"Locher, K.P.",2019
MFSD2A,7MJS,,ELECTRON MICROSCOPY,3.03,2021-06-16T00:00:00.000+00:00,Gallus gallus,Eukaryota,Eukaryotic,trimeric,111.05,"Mancia, F.",2021
MFSD2A,7N98,,ELECTRON MICROSCOPY,3.5,2021-08-04T00:00:00.000+00:00,Mus musculus,Eukaryota,Eukaryotic,monomeric,59.04,"Feng, L.",2021
MFSD2A,7OIX,,ELECTRON MICROSCOPY,3.6,2022-06-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,121.41,"Reyes, N.",2022
NPC1,3GKH,,X-RAY DIFFRACTION,1.81,2009-07-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,26.57,"Kwon, H.J.",2009
NPC1,3GKI,,X-RAY DIFFRACTION,1.8,2009-07-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,26.77,"Kwon, H.J.",2009
NPC1,3GKJ,,X-RAY DIFFRACTION,1.6,2009-07-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,26.79,"Kwon, H.J.",2009
NPC1,5F18,,X-RAY DIFFRACTION,2.0,2016-01-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,29.44,"Gao, G.F.",2016
